Country,University,Year,Donations,Public Grants,Tuition Fees,Total Income,"Total Income, €",Ac.Staff,Student,NIS,CSRC,CSRF,Rept,Tng,NSR,CSR,Edu,NST,CST,SCST,Reputation,Teaching,NSR,CSR,Edu,NST,CST,SCST,
FR,Aix-Marseille University (AMU),2022,"€ 224,251","€ 537,089,628","€ 58,723,763","€ 858,966,842","€ 858,966,842",4294 ,80000 ,44.53 ,,,113 ,84 ,22 ,0 ,94 ,85 ,83 ,84 ,,,,,,,,,
FR,University of Lorraine (UL),2021,"€ 367,767","€ 550,786,108","€ 65,447,234","€ 654,174,746","€ 654,174,746",4000 ,62000 ,16.80 ,,,112 ,86 ,11 ,0 ,95 ,84 ,84 ,84 ,,,,,,,,,
NO,Western Norway University of Applied Sciences (HVL),2023,*,"kr 2,364,402,000",*,"kr 2,734,859,000","€ 235,385,021",1380 ,16483 ,1.13 ,,,100 ,93 ,3 ,0 ,96 ,83 ,84 ,83 ,,,,,,,,,
UK,University of Birmingham (UB),2023,"£9,000,000","£113,000,000","£445,000,000","£929,000,000","€ 1,083,246,755",3665 ,37990 ,72.36 ,2.1 ,38 ,35 ,104 ,74 ,110 ,77 ,81 ,86 ,83 ,,,,,,,,,
UK,The University of Manchester (UoM),2023,"£18,564,000","£184,180,000","£659,945,000","£1,344,665,000","€ 1,567,926,801",4820 ,46410 ,131.31 ,1.4 ,18 ,38 ,108 ,110 ,28 ,80 ,88 ,77 ,83 ,,,,,,,,,
IT,University of Rome Tor Vergata,2022,,"€ 212,140,470","€ 32,808,958","€ 330,933,638","€ 330,933,638",1310 ,29362 ,22.73 ,,,109 ,82 ,30 ,0 ,92 ,84 ,81 ,83 ,,,,,,,,,
FR,University of Montpellier,2022,"€ 77,400","€ 381,658,460","€ 51,233,830","€ 460,271,865","€ 460,271,865",2736 ,51857 ,39.56 ,,,111 ,81 ,30 ,0 ,92 ,84 ,81 ,83 ,,,,,,,,,
UK,The University of Sheffield,2023,"£11,700,000","£111,500,000","£397,500,000","£887,000,000","€ 1,034,273,274",3345 ,30860 ,48.80 ,1.6 ,28 ,38 ,108 ,62 ,76 ,81 ,81 ,84 ,83 ,,,,,,,,,
UK,University of Glasgow,2023,"£8,000,000","£185,900,000","£410,800,000","£952,200,000","€ 1,110,298,773",3810 ,42980 ,77.62 ,1.7 ,28 ,49 ,102 ,70 ,58 ,81 ,83 ,82 ,82 ,,,,,,,,,
FR,Claude Bernard University Lyon 1 (UCBL),2022,*,*,*,"€ 479,300,000","€ 479,300,000",2840 ,46688 ,36.20 ,,,100 ,85 ,30 ,0 ,90 ,83 ,80 ,82 ,,,,,,,,,
FR,University of Rennes 1,2024,*,*,*,"€ 288,000,000","€ 288,000,000",1817 ,28187 ,14.83 ,,,100 ,86 ,21 ,0 ,90 ,82 ,81 ,81 ,,,,,,,,,
IT,University of Trieste (UNITS),2022,,"€ 128,991,623","€ 20,005,825","€ 173,093,242","€ 173,093,242",644 ,17201 ,13.50 ,,,109 ,78 ,31 ,0 ,89 ,83 ,80 ,81 ,,,,,,,,,
UK,Queen Mary University of London (QMUL),2023,"£2,900,000","£80,000,000","£382,900,000","£679,800,000","€ 792,670,769",2505 ,26045 ,61.42 ,1.8 ,20 ,29 ,105 ,92 ,72 ,75 ,82 ,80 ,81 ,,,,,,,,,
UK,Queen's University Belfast (QUB),2023,"£3,135,000","£108,240,000","£160,937,000","£460,525,000","€ 536,988,387",1915 ,25295 ,24.10 ,1.5 ,17 ,61 ,97 ,37 ,53 ,83 ,79 ,82 ,81 ,,,,,,,,,
IT,University of Milan (UNIMI),2022,,"€ 420,860,593","€ 89,463,377","€ 640,822,754","€ 640,822,754",2538 ,59773 ,30.47 ,,,105 ,81 ,20 ,0 ,89 ,81 ,80 ,80 ,,,,,,,,,
IT,University of Naples Federico II (UNINA),2022,,"€ 486,789,762","€ 69,227,637","€ 681,246,368","€ 681,246,368",2867 ,73553 ,38.32 ,,,110 ,78 ,20 ,0 ,89 ,81 ,80 ,80 ,,,,,,,,,
UK,Durham University,2023,"£9,373,000","£46,778,000","£289,887,000","£484,223,000","€ 564,621,091",2020 ,22230 ,72.89 ,1.4 ,15 ,27 ,102 ,128 ,49 ,72 ,86 ,75 ,80 ,,,,,,,,,
IT,University of Modena and Reggio Emilia (UNIMORE),2022,,"€ 178,626,191","€ 61,887,234","€ 253,060,701","€ 253,060,701",944 ,20087 ,10.56 ,,,97 ,84 ,20 ,0 ,88 ,81 ,79 ,80 ,,,,,,,,,
UK,University of London - Royal Holloway (RHUL),2023,"£655,000","£22,578,000","£136,722,000","£216,104,000","€ 251,984,884",880 ,12480 ,8.70 ,1.8 ,28 ,24 ,96 ,27 ,211 ,67 ,67 ,92 ,80 ,,,,,,,,,
IT,University of Pavia (UNIPV),2021,"€ 71,722","€ 167,965,881","€ 39,368,427","€ 251,080,695","€ 251,080,695",896 ,24023 ,11.79 ,,,104 ,79 ,19 ,0 ,87 ,80 ,79 ,79 ,,,,,,,,,
IT,Sapienza University of Rome,2022,,"€ 644,619,669","€ 116,819,771","€ 880,317,965","€ 880,317,965",3576 ,122143 ,53.85 ,2.4 ,40 ,108 ,71 ,17 ,41 ,83 ,77 ,81 ,79 ,,,,,,,,,
IT,University of Florence (UNIFI),2022,,"€ 321,313,103","€ 57,047,349","€ 459,478,287","€ 459,478,287",1800 ,51000 ,24.93 ,,,108 ,76 ,19 ,0 ,87 ,79 ,78 ,79 ,,,,,,,,,
UK,Lancaster University,2023,"£3,954,000","£50,464,000","£199,319,000","£381,775,000","€ 445,163,111",1495 ,17770 ,18.32 ,1.4 ,25 ,35 ,101 ,40 ,103 ,74 ,74 ,83 ,79 ,,,,,,,,,
UK,University of Leeds,2023,"£15,058,000","£107,002,000","£507,211,000","£985,279,000","€ 1,148,870,054",3530 ,37190 ,74.20 ,1.5 ,18 ,32 ,105 ,78 ,38 ,76 ,81 ,76 ,78 ,,,,,,,,,
UK,University of York,2023,"£3,189,000","£59,459,000","£256,284,000","£518,675,000","€ 604,793,338",2160 ,23420 ,35.11 ,1.5 ,23 ,32 ,103 ,58 ,77 ,74 ,77 ,80 ,78 ,,,,,,,,,
IT,University of Pisa (UNIPI),2023,,"€ 271,160,973","€ 64,849,737","€ 405,512,751","€ 405,512,751",1518 ,52583 ,40.50 ,1.4 ,20 ,104 ,71 ,30 ,28 ,82 ,78 ,79 ,78 ,,,,,,,,,
LV,University of Latvia (LU),2022,,"€ 34,000,000","€ 16,000,000","€ 114,000,000","€ 114,000,000",1432 ,15250 ,1.54 ,,,91 ,86 ,4 ,0 ,87 ,77 ,79 ,78 ,,,,,,,,,
IT,University of Bologna (UNIBO),2022,"€ 75,940","€ 566,196,230","€ 134,624,132","€ 879,831,965","€ 879,831,965",3382 ,96984 ,37.11 ,,,104 ,76 ,15 ,0 ,85 ,78 ,77 ,78 ,,,,,,,,,
IT,University of Milano-Bicocca (UNIMIB),2022,,"€ 199,030,207","€ 49,636,757","€ 307,976,956","€ 307,976,956",900 ,32841 ,22.08 ,,,103 ,73 ,26 ,0 ,83 ,78 ,76 ,77 ,,,,,,,,,
UK,Cardiff University,2023,"£1,397,000","£90,199,000","£310,617,000","£636,381,000","€ 742,042,684",2940 ,33985 ,41.21 ,1.7 ,26 ,36 ,99 ,47 ,68 ,74 ,75 ,79 ,77 ,,,,,,,,,
UK,The University of Nottingham (UoN),2022,"£4,300,000","£108,500,000","£433,700,000","£801,800,000","€ 934,927,070",3320 ,37260 ,57.68 ,1.4 ,22 ,33 ,102 ,60 ,43 ,74 ,77 ,76 ,76 ,,,,,,,,,
IT,University of Parma (UNIPR),2022,"€ 1,422,000","€ 171,231,415","€ 37,795,692","€ 237,228,536","€ 237,228,536",960 ,32000 ,14.41 ,,,106 ,71 ,18 ,0 ,83 ,77 ,76 ,76 ,,,,,,,,,
IT,Polytechnic University of Turin,2021,,"€ 174,402,468","€ 32,620,403","€ 296,151,444","€ 296,151,444",1217 ,39700 ,8.24 ,,,107 ,72 ,8 ,0 ,84 ,76 ,76 ,76 ,,,,,,,,,
UK,University of Bath,2023,"£1,500,000","£46,700,000","£205,900,000","£363,000,000","€ 423,270,799",1290 ,18890 ,34.13 ,1.6 ,16 ,31 ,97 ,70 ,71 ,70 ,76 ,76 ,76 ,,,,,,,,,
IT,University of Turin (UNITO),2022,"€ 51,423","€ 417,456,878","€ 92,035,021","€ 596,878,425","€ 596,878,425",2377 ,81000 ,33.51 ,,,105 ,71 ,16 ,0 ,83 ,76 ,75 ,76 ,,,,,,,,,
FR,University of Versailles Saint-Quentin-en-Yvelines (UVSQ),2024,*,*,*,"€ 104,000,000","€ 104,000,000",749 ,19000 ,10.94 ,,,100 ,71 ,22 ,0 ,81 ,76 ,74 ,75 ,,,,,,,,,
FR,Toulouse 1 Capitole University (UT1),2022,,"€ 87,216,682","€ 14,810,746","€ 117,597,203","€ 117,597,203",690 ,21000 ,1.18 ,,,108 ,69 ,2 ,0 ,82 ,74 ,75 ,75 ,,,,,,,,,
IT,University of Roma Tre,2021,,"€ 147,784,124","€ 29,747,686","€ 201,622,056","€ 201,622,056",893 ,32549 ,10.27 ,,,106 ,68 ,12 ,0 ,81 ,74 ,74 ,74 ,,,,,,,,,
HU,Eötvös Loránd University (ELTE),2022,,"5,377,274,805 Ft",,"18,406,500,000 Ft","€ 47,189,696",1800 ,35870 ,14.98 ,,,122 ,55 ,16 ,0 ,79 ,74 ,73 ,73 ,,,,,,,,,
FR,University of Nantes,2020,,"€ 257,060,000","€ 22,040,000","€ 356,500,000","€ 356,500,000",225 ,37000 ,12.66 ,,,114 ,54 ,13 ,0 ,75 ,71 ,70 ,70 ,,,,,,,,,
HR,University of Zagreb,2023,,"€ 9,994,324",,"€ 21,431,001","€ 21,431,001",7900 ,72480 ,10.83 ,,,122 ,46 ,6 ,0 ,72 ,68 ,69 ,68 ,,,,,,,,,
IT,Bocconi University,2023,"€ 5,500,000","€ 12,600,000","€ 219,892,056","€ 291,098,453","€ 291,098,453",689 ,15107 ,1.68 ,1.4 ,10 ,13 ,89 ,4 ,48 ,58 ,58 ,65 ,62 ,,,,,,,,,
UK,The Open University (OU),2022,"£5,800,000","£113,800,000","£432,100,000","£554,000,000","€ 645,983,533",3255 ,151840 ,4.36 ,1.4 ,16 ,35 ,60 ,1 ,8 ,47 ,50 ,53 ,51 ,,,,,,,,,
